MASS        E           DATA        ERR-S
93.         7.5         0.          0.
93.         7.7         0.          0.
93.         7.9         0.          0.
93.         8.1         0.          0.
93.         8.3         0.          0.
93.         8.5         0.          0.
93.         8.7         0.          0.
93.         8.9         0.          0.
93.         9.1         0.          0.
93.         9.3         0.          0.
93.         9.5         0.          0.
93.         9.7         0.          0.
93.         9.9         0.          0.
93.         10.1        0.          0.
93.         10.3        0.          0.
93.         10.5        0.          0.
93.         10.7        0.          0.
93.         10.9        0.          0.
93.         11.1        0.          0.
93.         11.3        0.          0.
93.         11.5        0.          0.
93.         11.7        0.          0.
93.         11.9        0.          0.
93.         12.1        0.          0.
93.         12.3        0.          0.
93.         12.5        0.          0.
93.         12.7        0.          0.
93.         12.9        0.          0.
93.         13.1        0.          0.
93.         13.3        0.          0.
93.         13.5        0.          0.
93.         13.7        0.          0.
93.         13.9        0.          0.
93.         14.1        0.          0.
93.         14.3        0.          0.
93.         14.5        0.          0.
93.         14.7        0.          0.
93.         14.9        0.          0.
94.         0.1         0.519048    0.0294358
94.         0.3         0.854916    0.0365853
94.         0.5         0.93478     0.0383886
94.         0.7         0.816251    0.0365067
94.         0.9         0.652559    0.0334052
94.         1.1         0.520248    0.0305425
94.         1.3         0.489387    0.0300693
94.         1.5         0.40061     0.0281297
94.         1.7         0.331628    0.0261069
94.         1.9         0.274096    0.0243941
94.         2.1         0.247161    0.0235531
94.         2.3         0.219228    0.0225149
94.         2.5         0.141434    0.0183476
94.         2.7         0.127886    0.0186498
94.         2.9         0.0934732   0.0161683
94.         3.1         0.0718285   0.0145439
94.         3.3         0.0682888   0.0140307
94.         3.5         0.0669686   0.014318
94.         3.7         0.0481614   0.0122862
94.         3.9         0.0191273   0.00791532
94.         4.1         0.0129263   0.00672804
94.         4.3         0.026085    0.0100108
94.         4.5         0.0160871   0.00751647
94.         4.7         0.0287521   0.0110684
94.         4.9         0.0150812   0.00771673
94.         5.1         0.          0.
94.         5.3         0.0123682   0.00731742
94.         5.5         0.0128793   0.00758773
94.         5.7         0.          0.
94.         5.9         0.          0.
94.         6.1         0.          0.
94.         6.3         0.          0.
94.         6.5         0.          0.
94.         6.7         0.          0.
94.         6.9         0.          0.
94.         7.1         0.          0.
94.         7.3         0.          0.
94.         7.5         0.          0.
94.         7.7         0.          0.
94.         7.9         0.          0.
94.         8.1         0.          0.
94.         8.3         0.          0.
94.         8.5         0.          0.
94.         8.7         0.          0.
94.         8.9         0.          0.
94.         9.1         0.          0.
94.         9.3         0.          0.
94.         9.5         0.          0.
94.         9.7         0.          0.
94.         9.9         0.          0.
94.         10.1        0.          0.
94.         10.3        0.          0.
94.         10.5        0.          0.
94.         10.7        0.          0.
94.         10.9        0.          0.
94.         11.1        0.          0.
94.         11.3        0.          0.
94.         11.5        0.          0.
94.         11.7        0.          0.
94.         11.9        0.          0.
94.         12.1        0.          0.
94.         12.3        0.          0.
94.         12.5        0.          0.
94.         12.7        0.          0.
94.         12.9        0.          0.
94.         13.1        0.          0.
94.         13.3        0.          0.
94.         13.5        0.          0.
94.         13.7        0.          0.
94.         13.9        0.          0.
94.         14.1        0.          0.
94.         14.3        0.          0.
94.         14.5        0.          0.
94.         14.7        0.          0.
94.         14.9        0.          0.
95.         0.1         0.520416    0.0270642
95.         0.3         0.89644     0.033761
95.         0.5         0.947739    0.0350149
95.         0.7         0.765097    0.0321943
95.         0.9         0.647651    0.030141
95.         1.1         0.524829    0.0276571
95.         1.3         0.520545    0.0281755
95.         1.5         0.390414    0.0251288
95.         1.7         0.306151    0.0228325
95.         1.9         0.259168    0.0213706
95.         2.1         0.215158    0.0199884
95.         2.3         0.173213    0.018133
95.         2.5         0.138631    0.0166001
